风电场群总出力_MW,集电线路故障率_次百km年,箱变渗漏油次数_次月,风机基础沉降速率_mm月,场区道路承载力_MPa,电缆沟积水深度_mm,集电系统电压不平衡度_%,升压站设备温升_℃,防雷接地电阻_Ω,风机可利用率_%,CRI综合风险指数,风险等级_二分类
314.61,0.69,0.91,2.75,42.76,1.32,0.24,49.92,7.39,99.55,0.3359,0
364.6,1.46,0.01,0.79,46.73,20.82,0.48,57.39,0.59,95.7,0.3317,0
134.67,0.55,1.03,0.72,31.59,2.32,0.95,21.14,1.92,90.6,0.5479,1
69.71,2.59,2.0,0.45,48.78,17.38,0.61,57.5,2.43,94.0,0.7025,1
142.26,0.98,2.0,0.21,30.13,95.41,0.82,49.14,1.76,97.5,0.606,1
97.73,0.78,2.0,1.53,11.74,87.85,1.29,57.27,2.2,93.63,0.7715,1
377.26,0.42,0.0,0.28,40.3,25.27,1.54,62.37,5.36,99.99,0.311,0
355.73,1.14,3.05,1.22,42.44,47.36,0.44,53.12,4.81,97.18,0.2953,0
263.23,1.9,0.99,0.68,45.12,76.73,1.68,36.97,0.77,95.97,0.4856,1
251.73,0.33,1.03,0.8,18.81,123.39,0.26,54.77,7.58,99.99,0.4664,1
58.6,5.46,2.01,1.92,34.25,13.44,0.4,32.97,0.5,92.54,0.9389,0
388.67,2.23,2.05,0.14,18.23,65.86,1.01,47.22,1.26,94.89,0.3401,0
321.1,4.08,2.07,0.33,23.79,5.45,0.35,45.74,0.5,80.53,0.5539,1
482.8,1.07,1.0,0.07,34.49,26.17,0.57,44.21,2.71,99.99,0.0347,0
348.97,0.53,1.0,1.36,15.07,20.31,0.14,24.82,6.87,98.36,0.2808,0
322.98,0.48,0.97,0.68,21.5,41.08,0.55,24.6,2.37,99.99,0.3245,0
252.12,1.61,0.01,2.65,35.87,8.57,0.73,48.27,1.9,99.99,0.5407,1
151.41,0.91,0.05,0.02,46.63,1.16,0.74,40.45,3.06,86.44,0.497,1
351.58,0.7,0.04,0.03,48.36,0.01,0.93,58.38,2.78,95.35,0.305,0
381.09,1.54,0.98,0.29,24.09,31.08,0.15,49.64,2.58,92.71,0.334,0
166.1,2.31,0.0,0.79,40.63,22.62,0.2,15.0,2.06,93.44,0.4355,0
92.99,3.42,2.98,1.08,34.29,18.73,0.66,23.93,3.56,86.86,0.718,1
482.41,3.72,4.09,2.25,14.98,13.1,1.22,45.93,9.84,98.64,0.3907,0
163.3,0.91,0.0,0.59,44.41,56.69,1.14,16.79,3.8,98.98,0.4904,1
176.97,0.6,0.12,1.04,44.05,8.42,0.85,66.01,6.7,89.5,0.5352,1
395.71,0.95,2.0,0.14,21.34,3.19,1.46,62.08,2.89,93.43,0.3888,0
409.07,2.37,1.04,0.26,45.4,3.15,1.02,43.33,2.4,99.11,0.2111,0
294.82,0.67,5.04,0.54,33.2,8.19,1.73,32.71,4.02,96.18,0.3802,0
222.22,1.02,2.02,0.18,38.6,35.37,0.7,64.1,0.77,90.73,0.4838,1
221.74,0.75,0.94,0.45,28.24,4.76,0.28,55.89,5.09,99.99,0.5292,1
178.62,0.69,1.04,0.63,21.05,33.12,1.25,45.74,2.38,85.65,0.7087,1
383.12,0.74,1.93,1.35,41.25,22.62,0.25,59.9,1.39,95.43,0.2542,1
157.54,4.51,0.0,1.44,22.64,24.1,0.51,58.2,2.12,94.91,0.8199,1
246.97,2.34,3.06,0.16,22.46,3.26,1.33,39.52,1.57,83.71,0.5475,1
447.59,0.58,2.04,0.14,48.07,73.5,1.23,66.71,9.28,87.52,0.1976,0
180.18,0.34,1.97,1.23,44.21,11.61,0.8,52.62,1.16,99.59,0.5153,1
403.03,0.17,1.09,0.8,33.3,5.33,0.16,57.26,0.69,99.99,0.2659,0
391.53,1.78,4.06,0.47,49.3,17.51,1.68,62.35,0.83,94.27,0.2577,0
238.0,1.64,2.05,1.69,36.94,38.63,0.73,64.91,3.95,90.82,0.536,1
151.6,1.09,0.06,0.85,23.74,30.09,0.95,42.65,0.65,98.24,0.6609,1
239.04,0.41,0.99,0.06,33.92,45.1,1.81,57.16,1.17,95.32,0.4875,1
78.96,3.05,0.0,1.97,43.77,40.81,0.12,60.14,0.88,87.21,0.8569,1
318.39,1.43,2.04,0.85,39.6,3.92,0.04,69.02,9.32,89.58,0.3549,0
426.8,0.3,1.01,0.23,46.65,58.02,0.99,52.53,3.17,92.84,0.0877,0
451.62,2.78,0.04,1.33,40.62,9.62,1.33,41.86,1.34,89.59,0.3132,0
140.24,1.21,0.0,0.52,42.18,15.87,0.32,46.11,10.02,90.9,0.5763,1
276.08,0.23,1.0,0.31,32.38,24.7,0.71,59.75,9.0,97.9,0.415,0
452.92,2.17,0.07,0.79,66.75,2.45,1.15,43.08,4.5,87.15,0.0925,0
165.16,1.42,2.0,1.05,31.48,18.14,0.49,41.95,4.66,97.4,0.614,0
440.25,0.12,0.96,1.71,30.43,0.51,0.51,57.34,5.76,90.77,0.2249,0
57.42,1.77,3.02,0.3,21.2,32.39,1.24,43.39,2.0,82.43,0.8653,1
298.62,1.11,1.09,0.32,24.85,19.35,0.21,46.49,5.02,98.88,0.331,0
