,Accuracy,Precision,Recall,F1,AUC-ROC,MCC
"MCAF-Net
(Proposed)",0.8583,0.8508,0.8654,0.8554,0.8976,0.7118
MLP,0.8458,0.8319,0.8534,0.8426,0.8874,0.6918
ResNet-1D,0.7833,0.8019,0.7328,0.7658,0.8476,0.567
TabTransformer,0.8042,0.7805,0.8276,0.8033,0.8584,0.6097
AutoEncoder,0.8458,0.8376,0.8448,0.8412,0.8707,0.6914
DNN-BN,0.8167,0.8,0.8276,0.8136,0.8645,0.6337
Random Forest,0.8375,0.8348,0.8276,0.8312,0.8876,0.6746
Gradient Boost,0.8292,0.8261,0.819,0.8225,0.8751,0.6579
AdaBoost,0.8292,0.8378,0.8017,0.8194,0.8652,0.6581
SVM (RBF),0.825,0.8136,0.8276,0.8205,0.8678,0.6499
Logistic Reg.,0.8458,0.8319,0.8534,0.8426,0.8826,0.6918
